ASV	WS_A_3	WS_A_6	WS_B_3	WS_B_6	WS_C_3	WS_C_6	WS_D_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_3	WS_G_6	WS_H_3	WS_H_6	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
d3530350480a2196e24a004fa0027558	79	0	0	0	48	66	0	0	0	129	170	0	0	0	0	67	73	133	69	0	47	27	78	0	0	0	43
e26db37c4ad54c925f2499f30f8f8837	0	0	0	44	0	11	0	0	0	27	0	38	0	0	11	12	10	22	38	112	85	65	46	66	61	106	271
35f34c808b950913c07c2c2aabb660b4	0	0	0	0	14	0	0	13	0	15	26	0	0	0	10	0	31	0	76	73	123	95	51	67	118	251	62
16acf0742b9bf7ac516eb47de2aa1f8c	0	0	0	0	0	2	0	3	0	5	0	0	0	2	0	9	0	12	25	270	107	140	48	9	89	38	253
5d1b55132572f8e58f91bea83dabcf76	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0	9	158	12	145	0	109	285	115	82	75
0b36c352632cb1346cdc7d73f9fb376c	0	49	184	0	33	0	194	26	0	48	9	34	0	99	26	0	57	22	9	30	26	60	0	38	13	34	0
b734dae533b7ff720ffb2e1efdeaa572	0	0	0	0	0	38	0	20	0	0	0	18	0	13	0	0	0	27	101	160	94	92	179	26	48	45	126
33cdb0bd4a5ca3975b15d8e094f5b55c	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	89	71	80	161	59	117	82	213
23643145e6e6daf5aabd022523f0a77f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	88	155	176	184	83	76	74
69e49e83ce1d7c260ab365773d82ed94	0	0	0	0	0	0	0	6	0	0	0	7	0	7	0	0	0	8	27	40	25	270	276	50	63	56	127
4b6a9ae64400c8449303fe70888c1067	120	0	0	0	333	41	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
86d6db0b6e15510fa5d27ceae8fd5e0d	0	0	164	0	190	0	0	0	90	0	197	0	25	0	0	0	295	0	0	0	0	0	0	0	0	0	0
48336a03ab12d06b87777af9e87ee742	5	0	14	0	0	0	0	0	4	0	0	55	9	0	23	2	811	0	0	0	0	12	0	13	0	0	0
ae9ca4f1c89de2162ba1c4051d205315	46	0	0	75	67	188	0	0	0	65	70	0	0	0	49	80	0	126	0	0	65	53	0	0	27	0	36
726adcf2c36b8506b1618c939afc6308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	87	0	258	105	37	114	0	317
6376ea6dab7d0fde3cd66f53b57e1484	0	0	753	0	0	0	0	0	25	0	16	0	0	0	0	0	48	0	0	37	0	0	0	0	0	0	57
881c2e31de3f5d2593495ac37a1590c1	0	3	0	0	0	10	0	3	0	16	0	0	0	9	0	0	0	11	31	300	84	69	45	21	61	49	201
a8ac6ac6e7e39520dd07b078a05d1df6	0	0	0	0	0	0	0	0	0	6	0	4	0	0	13	0	0	13	56	73	0	187	0	264	105	111	80
b072d941e9760e0f31dabea3f54dabb4	0	9	0	13	0	19	0	0	0	15	0	0	0	0	5	28	10	58	40	121	83	97	65	22	106	39	182
794fea1efb1825bf0a088dd1c923bca0	4	64	0	24	0	37	0	63	0	49	0	37	0	17	0	6	2	79	41	7	47	65	155	18	64	67	59
96f278c867e747e5b4b0a50be17e050f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	201	48	122	122	68	53	45	178
5de27febf2c3146c05611c279e97767b	0	0	0	0	18	34	0	0	0	0	23	32	0	0	249	109	60	30	0	0	54	0	27	28	23	164	44
103ad5940ac3b635fa0afe4680cbc582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	93	114	83	132	100	102	41	171
29c3028f4104673553ebe4ece3aabf21	0	134	0	108	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	32	0	174	295	17	34	78
17447d0b860cb54cccea573e29a433a7	0	30	0	0	0	0	0	0	0	16	0	30	0	0	0	0	0	0	145	158	28	67	125	82	115	0	84
20131a80db0e23231a47f48b6e8d84e5	0	15	0	73	0	44	0	55	0	0	0	41	0	0	0	16	0	62	93	17	95	26	38	97	50	82	71
7017030b94462f54ca0141f11f705833	0	0	0	28	0	12	0	0	7	0	27	35	0	0	0	38	22	34	0	385	98	0	0	0	0	47	137
