ASV	WS_A_3	WS_A_6	WS_B_3	WS_C_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_6	WS_H_3	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
8ac6a451edb5af03cb6fb6fd7b92d654	19	0	0	0	0	7	0	97	0	0	114	73	0	0	0	0	0	0	0	0	0	0
1285d82aaf386c92fc7211892ba4e8f5	70	0	20	29	0	73	0	44	0	0	0	70	0	0	0	0	0	0	0	0	0	0
91682471dc9819b336e89450ea86b2b5	11	0	0	0	0	0	0	0	0	0	229	58	0	0	0	0	0	0	0	0	0	0
ae7e3ce934f967f0c503d1d80a43c6cf	0	0	0	0	0	0	35	0	0	0	0	0	0	0	25	44	0	128	37	0	0	29
8d380785087977598d5d05a460b7c505	0	0	0	0	0	17	73	0	59	0	31	38	76	0	0	0	0	0	0	0	0	0
245ecf8546c80ff6bddd8671951bf4c8	0	0	0	0	84	0	108	0	0	25	0	0	53	0	0	9	0	0	0	14	0	0
261b5cea090070e6ba0b6cd0808bb53a	0	0	0	0	0	0	0	0	0	0	0	0	0	67	29	103	19	0	0	0	0	74
968196ed15bdae54bc59afd7c5ff0192	109	0	0	10	12	57	25	0	0	0	18	51	0	0	0	0	0	0	0	0	0	0
ed1a43eeb73b5c6c20d74b82f85600b3	36	0	59	0	0	29	6	14	21	0	5	53	11	0	18	0	15	0	0	0	0	10
eb2df112da77fd8fa68dfa948c964712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0
a452973351e79c947443e3ddda2caa4c	15	0	3	9	22	6	0	14	23	20	14	10	0	0	0	4	30	56	8	22	0	14
c6002746df9c595c025d6d1bf7e9c988	0	0	0	0	37	0	0	0	11	0	204	0	15	0	0	0	0	0	0	0	0	0
a11ba7a8a1e04d328f9c9ca591f05a55	0	0	0	0	115	0	54	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0
8a40f53ed5500714bcf6cb1b51243acb	0	0	0	0	0	0	211	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0
a32054e7467319099943f066599d11f2	0	0	0	0	49	0	36	0	0	1	0	0	33	11	0	4	36	68	6	0	0	18
d4d8486645e0570fc17cc89bcb99dae5	0	0	0	0	0	0	34	0	0	13	0	0	0	33	0	0	33	13	101	20	0	14
eb6c5d9e1221b355d08ea9ef7a67c10e	0	0	0	0	6	0	0	0	12	0	0	0	7	0	73	96	0	0	5	5	0	53
5c27a470a0be8e3c56f41cad35c5cb83	0	0	0	0	0	0	13	5	11	52	0	0	16	0	0	0	131	0	0	13	16	0
fae30a6428b0f304225519da67dc301e	0	0	0	0	0	0	33	0	0	0	0	190	34	0	0	0	0	0	0	0	0	0
